"","oil_subset.2.346..1.","oil_percent","df_permits_percent","export_percent","inflation_raw_percent","df_stock_percent"
"1","1986/02",-0.39433229737057,0.253208588180945,0.189192303475338,-0.00548447444216027,0.0522674347922916
"2","1986/03",-0.208840129517489,0.32490470068629,-0.249530070254999,-0.00367309871186094,0.0579840554045115
"3","1986/04",0.0331780004319766,0.231852988185349,0.194082640752062,0.00275608810197969,0.023416620828824
"4","1986/05",0.175776207852768,-0.0292303791571094,-0.144099877033261,0.00366300775873718,0.00275020635837553
"5","1986/06",-0.144370493358303,0.0684878248811955,0.216846124125085,0.000913659268674927,0.0288243586443278
"6","1986/07",-0.147249216563117,0.00325206443044479,-0.0781305333397277,0.000912825257359806,-0.0255719608397342
"7","1986/08",0.279709383641111,-0.024110345958487,-0.383089279012093,0.00364299127850121,0.0251778610763038
"8","1986/09",-0.0258874621498597,-0.0167546860247363,0.0607137321310125,0.00181653092639777,-0.0308099732063436
"9","1986/10",-0.000149806960195065,0.0700583176386758,0.58516223748895,0.00181323712418102,-0.00222884127578737
"10","1986/11",0.0228567821429277,-0.149042321602511,-0.885386725662556,0.00361664047018806,0.0321626866662861
"11","1986/12",0.0588883525021933,-0.119257325306734,0.111414425997251,0.00540055318000032,0.0133387435271084
"12","1987/01",0.144095576062329,-0.219239807711038,-0.0909755054393182,0.00358423322781487,0.0621006923550214
"13","1987/02",-0.0495965311851085,0.156285398139694,-0.472699071805473,0.00357143236759772,0.0602378573724831
"14","1987/03",0.0319152318264226,0.392454256841258,0.197765791397245,0.00444642795713435,0.0402326620560229
"15","1987/04",0.0192119899988987,0.16399837149028,-0.0288514573893472,0.00265839766661013,-0.0115294684315081
"16","1987/05",0.0415754579187446,-0.0551912306995241,-0.553218591296532,0.00441501820911672,0.000313798778842411
"17","1987/06",0.0324369146823105,0.00943486943674898,0.203604270474432,0.00263968477077281,0.0432232819319172
"18","1987/07",0.0610751378243499,-0.0836946940803465,0.397579979993643,0.00438404910853496,0.0275899732248783
"19","1987/08",-0.0529505924757814,-0.0427781146049355,0.324954817460894,0.00349345333455986,0.0583722189954381
"20","1987/09",-0.0376153319157502,0.0616127587606528,0.0391437871176272,0.00261210422792502,-0.0316081833426773
"21","1987/10",0.0172600027402403,-0.0231561490652723,-0.0705931753912177,0.00347222571074912,-0.137388350058451
"22","1987/11",-0.0535561044689619,-0.0956149492076293,-0.726129652445744,0.00173160216427792,-0.128565035884905
"23","1987/12",-0.0896627263112499,-0.170130834754719,0.122096812353789,0.00345423486808727,-0.0123790938921076
"24","1988/01",-0.00604700741414543,-0.232509514475552,0.299169978945698,0.00172265331144672,0.0378499930358567
"25","1988/02",-0.0224241674819616,0.257001376100032,-0.397490272881032,0.00257842858794444,0.0315797896771803
"26","1988/03",-0.0309357246216355,0.305038353953613,0.353420194560178,0.00599060413715691,0.0264428353232979
"27","1988/04",0.0960942519791299,0.0523492464998832,-0.291864788711502,0.00255645644130098,-0.0115639518347708
"28","1988/05",-0.0244358530284701,0.220862630708019,0.55750943898178,0.00424629088145156,-0.0231565904577904
"29","1988/06",-0.0606261098722887,-0.0407735442878767,-0.112413895241326,0.004228336109521,0.0542673681043286
"30","1988/07",-0.0532594500056267,-0.259545606452711,-0.800964974344663,0.00421053253634351,-0.00682647761048827
"31","1988/08",-0.00488943722946322,0.119458514548288,0.602734405107888,0.004192878260036,-0.0223502118191519
"32","1988/09",-0.0645889921993388,0.0169817320231118,0.181831780856651,0.0033416906619026,0.0200433284731494
"33","1988/10",-0.0532039382514413,-0.0989466288568153,-0.184405784851824,0.00333056094716522,0.0330493318083063
"34","1988/11",0.0341636030106147,-0.0327437351668394,0.162948390530788,0.00331950512285228,-0.0246643194426088
"35","1988/12",0.14263673834431,-0.128722652703836,0.311509589064328,0.00413394553172797,0.0219382951638192
"36","1989/01",0.0918969060782957,-0.13746394526974,-0.657516184672843,0.00329489589685306,0.03280618552769
"37","1989/02",-0.00133166074211211,0.288233024604555,-0.449377724826989,0.00492207720542837,0.0260313256225171
"38","1989/03",0.0834226669918321,0.219348256590333,0.245032062552697,0.00733798645291284,-0.00172487332821092
"39","1989/04",0.0743899216448609,0.0023555440025369,-0.0315912404998278,0.00486224620803455,0.0322350629264934
"40","1989/05",-0.0467856180571742,0.0674611577664841,0.202518044026196,0.00322841281211872,0.0386894690711523
"41","1989/06",-0.00131706191540815,-0.00871102129546486,0.361858074685709,0.00321802369420077,0.0291324564771456
"42","1989/07",-0.0183412263055254,-0.156351592829534,-0.564002984379218,0,0.026447016483349
"43","1989/08",-0.0561977598701295,0.293616382429672,0.256709288356411,0.0024067400305654,0.0428367061318395
"44","1989/09",0.0526698974550208,-0.236034404027237,0.228726781634943,0.00479617226349305,-0.000141513313005603
"45","1989/10",0.0236838514848334,-0.020783714098318,0.224176194398343,0.0039793128514809,0.0003895419252542
"46","1989/11",-0.0116992790515011,-0.103593390826799,-0.254004806884554,0.00317208830614391,-0.0187844114589
"47","1989/12",0.0624753923026873,-0.215001646351638,-0.696108390896725,0.00945633524203604,0.0226253432301835
"48","1990/01",0.0778703578562912,-0.0421184543042941,-1.19178951352229,0.00391389932113562,-0.0261023343073923
"49","1990/02",-0.0365136330286333,0.0397475241941123,0.447785978752155,0.0046765478839017,-0.0263394356329059
"50","1990/03",-0.0796653472762001,0.353138611202233,-0.737553557694958,0.00233009814162344,0.0241335737542263
"51","1990/04",-0.0984578251281145,-0.0779879582546421,1.077159030519,0.00155038790745454,-0.00248851232979863
